"Graph 2 - Annual growth rates in student enrolments by state and territory, affiliation, 2022 to 2023"
,"Government (%)","Non-Government (%)","All affiliations (%)"
"NSW","-0.6","2.6","0.6"
"Vic.","1.7","2.4","2.0"
"Qld","-0.2","2.7","0.8"
"SA","-0.3","1.7","0.5"
"WA","1.8","2.8","2.1"
"Tas.","-1.9","2.3","-0.6"
"NT","-0.8","0.5","-0.4"
"ACT","-0.2","2.8","0.9"
"Australia","0.3","2.5","1.1"

"Source: Australian Bureau of Statistics, Schools 2023"
